Media,Judul,Tanggal,Reporter,Isi
sukabumiupdate.com,,,,
radarlampung.disway.id,,,,
kaltimkece.id,,,,
infosurabaya.com,,,,
wartajakarta.com,,,,
majalahbandara.com,,,,
travelmaker.id,,,,
medha.id,,,,
gotravelly.com,,,,
bandung.urbanjabar.com,,,,
en.qdnd.vn,,,,
vnexpress.net,,,,
en.vietnamplus.vn,,,,
en.baoquocte.vn,,,,
thediplomat.com,,,,
oananews.org,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
beritamalut.co,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
brandinginasia.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
thecrowdreview.com,,,,
bloombergtechnoz.com,,,,
semarang.inews.id,,,,
babab.net,,,,
mobilkomersial.com,,,,
radarmajalengka.disway.id,,,,
bukabanten.co.id,,,,
teknologi.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
duwitmu.com,,,,
bogordaily.net,,,,
sigermedia.com,,,,
klikinvestor.com,,,,
smartmedia.id,,,,
brief.id,,,,
indonesiadaily.net,,,,
majalahict.com,,,,
wartausaha.com,,,,
moneter.id,,,,
pelakubisnis.com,,,,
turisian.com,,,,
kompas.tv,,,,
fezpedia.com,,,,
jabar.tribunnews.com,,,,
ibenews.id,,,,
gorontalopost.id,,,,
sumsel.tribunnews.com,,,,
matakita.co,,,,
trenasia.com,,,,
voicemagz.com,,,,
channelnewsasia.com,,,,
monitorindonesia.com,,,,
sekalamedia.com,,,,
bisnisbanten.com,,,,
zetizens.com,,,,
english.thesaigontimes.vn,,,,
kabarfajar.com,,,,
infoasatu.com,,,,
mediakaltim.com,,,,
prokaltim.com,,,,
kliksamarinda.com,,,,
utusan.com.my,,,,
1suara.com,,,,
newszents.com,,,,
fintechnews.sg,,,,
coingenius.news,,,,
jangkarpena.com,,,,
purnamanews.com,,,,
postrepublik.com,,,,
birulangit.id,,,,
edoostory.id,,,,
rakyatbengkulu.disway.id,,,,
cekaja.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
hipwee.com,,,,
lampost.co,,,,
aceh.tribunnews.com,,,,
ashefanews.com,,,,
avesiar.com,,,,
cirebon.tribunnews.com,,,,
indonewstoday.com,,,,
radartasik.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
antvklik.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize""]"
kenali.co.id,,,,
indopos.co.id,,,,
kongkrit.com,,,,
prbandungraya.pikiran-rakyat.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
jambione.com,,,,
jember.jatimnetwork.com,,,,
kontenjateng.com,,,,
ceritadepok.com,,,,
bondowoso.jatimnetwork.com,,,,
faktualnews.co,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
jabar.pojoksatu.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
edisi.co.id,,,,
makassartoday.com,,,,
koransaku.hops.id,,,,
batampos.co.id,,,,
floreseditorial.com,,,,
lifestyle.bisnis.com,,,,
enampagi.id,,,,
goodstats.id,h1.detail__title,div.detail__date,div.detail__author,"div[class=""detail__body-text itp_bodycontent""]"
bnnbloomberg.ca,h1.read__title,div.read__info__date,div.read__info__author,"article[class=""read__content clearfix""]"
tatlerasia.com,h1.entry-title,"span[class=""posted-on""]","span[class=""author vcard""]","div[class=""entry-content entry-content-single clearfix have-stickybanner""]"
campaignasia.com,-,-,-,-
inilahmedan.com,-,-,-,-
delinewstv.com,-,-,-,-
utamanews.com,h1.read__title,div.read__info__date,div.read__info__author,"article[class=""read__content clearfix""]"
liputanbekasi.com,,,,
portalsulut.pikiran-rakyat.com,,,,
bicaraberita.com,,,,
nongkrong.co,,,,
jurnalmedia.com,,,,
ayobogor.com,,,,
intipseleb.com,,,,
bandung.viva.co.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
lensaindonesia.com,,,,
alonesia.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
seputarkediri.id,,,,
ttgasia.com,,,,
parapuan.co,,,,
inilahdepok.id,,,,
infobintaro.com,,,,
traveldailynews.asia,,,,
sumut.idntimes.com,,,,
destinationthailandnews.com,,,,
sfsama.com,,,,
beritastartup.com,,,,
digiberita.com,,,,
asiatechdaily.com,,,,
milenianews.com,,,,
biem.co,,,,
metrotvnews.com,,,,
bernama.com,,,,
nusantaratv.com,,,,
bali.gemapos.id,,,,
indotimes.net,,,,
kbr.id,,,,
yoursay.suara.com,,,,
balipopuler.com,,,,
inikata.co.id,,,,
kanalmuria.com,,,,
scmp.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
ometraco.com,h1.news-title,div.caption,div.caption,div.single-body-text-only
rotasi.co,,,,
sumedang.pikiran-rakyat.com,,,,
fokusjabar.id,,,,
infoka.id,,,,
ceklissatu.com,,,,
swarabobar.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
mistar.id,,,,
bidikekspres.id,,,,
floresnews.id,,,,
rakyatsulsel.fajar.co.id,,,,
sulsel.herald.id,,,,
berita.news,,,,
fajar.co.id,,,,
mataram.antaranews.com,,,,
cantika.com,,,,
monitornusantara.com,,,,
possore.id,,,,
insertlive.com,,,,
bantennews.co.id,,,,
radarbanten.co.id,,,,
portalkota.id,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
liputankota.com,,,,
harianterbit.com,,,,
ceknricek.com,,,,
tangselxpress.com,,,,
femindonesia.com,,,,
indexperience.id,,,,
inapos.com,,,,
ourindonesia.com,,,,
markettrack.id,,,,
storypreneur.id,,,,
palpres.disway.id,,,,
jambiekspres.disway.id,,,,
kanalsatu.com,,,,
halojambi.id,,,,
postkotapontianak.com,,,,
medan.inews.id,,,,
beritasore.co.id,,,,
beritasurabaya.net,,,,
sumutcyber.com,,,,
sumselupdate.com,,,,
puanpertiwi.com,,,,
angkaberita.id,,,,
solosae.com,,,,
wartajurnalis.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
batamtoday.com,,,,
radarpalembang.disway.id,,,,
globalmedan.com,,,,
detakkaltim.com,,,,
sumut24.co,,,,
infodanproduk.saranaindo.com,,,,
laptophia.com,,,,
gadgetapa.com,,,,
itworks.id,,,,
holopis.com,,,,
gwigwi.com,,,,
techbiz.id,,,,
unbox.id,,,,
gadget.jagatreview.com,,,,
ayoindonesia.com,,,,
hitekno.com,,,,
koranmakassar.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
maritimindonesia.co,,,,
goodmoney.id,,,,
tribratanews.polri.go.id,,,,
ppnews.id,,,,
suaramajalengka.com,,,,
realistis.id,,,,
libaz.id,,,,
intelejen.id,,,,
gardahukum.com,,,,
bershalawat.com,,,,
Bisnis Sulawesi,,,,
indonesiaterkini.com,,,,
bloomberg.com,,,,
topbrand-award.com,,,,
indoposonline.com,,,,
harian.fajar.co.id,,,,
businessnews.co.id,,,,
emitennews.com,,,,
paltv.disway.id,,,,
topnewsphil.com,,,,
vietreader.com,,,,
asiaone.com,,,,
jateng.disway.id,,,,
radartegal.com,,,,
bindo.id,,,,
pinusi.com,,,,
infokekinian.com,,,,
skor.id,,,,
kawula.id,,,,
jurnaljabar.co.id,,,,
fixpalembang.com,,,,
jurnalbanua.com,,,,
posaceh.com,,,,
in-indonesia.com,,,,
radarpekalongan.id,,,,
jangantulalit.com,,,,
fox16.com,,,,
wiproud.com,,,,
wkrn.com,,,,
koin.com,,,,
wpri.com,,,,
fox2now.com,,,,
westernslopenow.com,,,,
wric.com,,,,
brproud.com,,,,
ktla.com,,,,
kron4.com,,,,
myhighplains.com,,,,
news10.com,,,,
wdhn.com,,,,
prnewswire.com,,,,
kxan.com,,,,
phl17.com,,,,
valleycentral.com,,,,
kark.com,,,,
wjbf.com,,,,
hk.morningstar.com,,,,
centralillinoisproud.com,,,,
mychamplainvalley.com,,,,
wjtv.com,,,,
lelezard.com,,,,
vulcanpost.com,,,,
fox5sandiego.com,,,,
woodtv.com,,,,
whnt.com,,,,
cw33.com,,,,
cw39.com,,,,
wjhl.com,,,,
siouxlandproud.com,,,,
abc4.com,,,,
mystateline.com,,,,
who13.com,,,,
wate.com,,,,
mywabashvalley.com,,,,
binghamtonhomepage.com,,,,
kxnet.com,,,,
wwlp.com,,,,
fourstateshomepage.com,,,,
fox44news.com,,,,
yourbasin.com,,,,
conchovalleyhomepage.com,,,,
wrbl.com,,,,
cottonwoodheightsjournal.com,,,,
clantonadvertiser.com,h1.detail__title,div.detail__date,"div[class=""detail__author""]","div[class=""detail__body-text itp_bodycontent""]"
rivertonjournal.com,,,,
dailyleader.com,,,,
harlandaily.com,,,,
bluegrasslive.com,,,,
jessaminejournal.com,,,,
sandyjournal.com,,,,
norwoodtownnews.com,,,,
theleesvilleleader.com,,,,
cordeledispatch.com,,,,
farmvilleherald.com,,,,
wvcjournal.com,,,,
pospapua.com,,,,
greenvillebusinessmag.com,,,,
technode.global,,,,
samacharlive.com,,,,
beritamoneter.com,,,,
bencoolentimes.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
tek.id,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize""]"
fortuneidn.com,,,,
hallyuvibe.com,,,,
aspirasiku.id,,,,
radaraktual.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
toraja.tribunnews.com,,,,
eropush.com,,,,
sijori.id,,,,
indeksnews.com,,,,
rakyat.news,,,,
nowbuzz.co.id,,,,
kailipost.com,,,,
radarjabar.disway.id,,,,
jambilink.com,,,,
straitstimes.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
auroranews.id,,,,
heartline.co.id,,,,
rimma.co,,,,
jatengtoday.com,,,,
bahadur.id,,,,
banyumasraya.com,,,,
depok.inews.id,,,,
ragamindonesia.com,,,,
banyumas.suaramerdeka.com,,,,
inforadar.disway.id,,,,
radarbandung.id,,,,
panturapost.com,,,,
radarbanyumas.disway.id,,,,
memorandum.co.id,,,,
kabarbisnis.com,,,,
harianbhirawa.co.id,,,,
beritajatim.com,,,,
suryatravel.tribunnews.com,,,,
riaugreen.com,,,,
malaymail.com,,,,
lhrtimes.com,,,,
brandspurng.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
laotiantimes.com,,,,
macaubusiness.com,,,,
wartabanyumas.com,,,,
gizmologi.id,,,,
dailysun.com.au,,,,
ttrweekly.com,,,,
katakota.com,,,,
realestat.id,,,,
kabarjakarta.id,,,,
kabartangsel.com,,,,
harianproperty.com,,,,
reportasejakarta.com,,,,
beritakeadilan.com,,,,
actualnews.id,,,,
benuanews.com,h1.title-news-big-detail,span.time-news,"span[class=""pub""] b",div.paragraph
mediakawasan.co.id,,,,
klik7tv.co.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
suarakristen.com,,,,
tangsel.kampai.co.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
aktualindonesia.com,,,,
dekannews.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
hariansinarbogor.com,,,,
anekafakta.com,,,,
pelitanusantara.com,,,,
viralmediaindonesia.com,,,,
indosiber.id,,,,
beritabatavia.com,,,,
gardapublik.com,,,,
matamaja.com,,,,
jppos.id,,,,
opsinews.id,,,,
cosmopolitanpost.com,,,,
mimbar.co.id,,,,
91news.id,,,,
suryanenggala.id,,,,
catatannews.id,,,,
kabarpulauseribu.com,,,,
fixsnews.co.id,,,,
86news.co,,,,
seputarindonesia.co.id,,,,
jurnalpolisi.id,,,,
ketik.co.id,,,,
kicaunews.com,,,,
investigasibhayangkara.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize""]"
dutametro.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
mediapolri.id,,,,
bratapos.com,,,,
indoglobenews.id,,,,
heaptalk.com,,,,
datastorageasean.com,,,,
theedgesingapore.com,,,,
thesundaily.my,,,,
bekasi.urbanjabar.com,,,,
kabarsdgs.com,,,,
cariaku.com,,,,
eljohnnews.com,,,,
ayopalembang.com,,,,
entrepreneurpos.com,,,,
retensi.id,,,,
sahabatrakyat.com,,,,
allrelease.id,,,,
balisatuberita.com,,,,
topmedia.co.id,,,,
kompas.id,,,,
logistiknews.id,,,,
duniafintech.com,,,,
preessroom.co.id,,,,
indonesiainside.id,,,,
indotipikor.com,,,,
okocenews.com,,,,
narasipos.com,,,,
tintariau.com,,,,
likein.id,,,,
rienews.com,,,,
piknikdong.com,,,,
koransumsel.com,,,,
borneonews.co.id,,,,
bandung.merdeka.com,,,,
jatim.metrotvnews.com,,,,
jateng.metrotvnews.com,,,,
jaktimnews.pikiran-rakyat.com,,,,
lahatpos.disway.id,,,,
foxyclicks.com,,,,
dinsights.katadata.co.id,,,,
ulasan.co,,,,
atapnews.com,,,,
vartadiy.com,,,,
jurnalpost.com,,,,
acehherald.com,,,,
kalderanews.com,,,,
suarainvestor.com,,,,
tangerang.tribunnews.com,,,,
satelitnews.com,,,,
indopolitika.com,,,,
masmient.com,,,,
theponsel.com,,,,
kabarmegapolitan.pikiran-rakyat.com,,,,
menitini.com,,,,
aktualnews.co.id,,,,
dara.co.id,,,,
review1st.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize""]"
palembang.tribunnews.com,,,,
gridoto.com,,,,
Delta FM,,,,
juandaairport.com,,,,
heraldmakassar.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
jatengpost.com,,,,
ayotegal.com,,,,
murianews.com,,,,
mediaanalisindonesia.co.id,,,,
surabaya.jatimnetwork.com,,,,
jakartainews.com,,,,
babelpos.disway.id,,,,
ayomalang.com,,,,
wisataku.blog,,,,
okes.disway.id,,,,
jatengnews.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
banten.tribunnews.com,,,,
jakarta.suara.com,,,,
radarcirebon.tv,,,,
padangkita.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
pasundan.jabarekspres.com,,,,
dnewsstar.com,,,,
mediago.id,,,,
dobrak.co,,,,
rakyatbenteng.disway.id,,,,
bogor.urbanjabar.com,,,,
malang.jatimnetwork.com,,,,
insidepontianak.com,,,,
belitongekspres.disway.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
depok.pikiran-rakyat.com,,,,
satuarah.co,,,,
kabarsumbar.com,,,,
radarpekalongan.disway.id,,,,
lintasterkini.com,,,,
inilahgorontalo.com,,,,
malang-post.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
hot.grid.id,,,,
kabarbanten.pikiran-rakyat.com,,,,
popbela.com,,,,
cirebonraya.com,,,,
aboutcirebon.id,,,,
fajarsatu.com,,,,
kabarmedan.com,,,,
cerdasbelanja.grid.id,,,,
indojurnal.id,,,,
independenmedia.id,,,,
zonabandung.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
radarsulbar.fajar.co.id,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
medanbicara.com,,,,
youngontop.com,,,,
bersamamedia.com,,,,
seremonia.id,,,,
spiritriau.com,,,,
sumeks.co,,,,
benang.id,,,,
sindikasi.republika.co.id.,,,,
ihwal.id,,,,
SEA Today,,,,
stories.briefer.id,,,,
rmoldkijakarta.id,,,,
berandarakyat.com,,,,
banpos.co,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
kedaipena.com,,,,
kabarinews.com,,,,
arahkita.com,,,,
indonesiadaily.co.id,,,,
tangerangnews.com,,,,
creacorridor.com,,,,
malay.news,,,,
teknologi.bisnis.com,,,,
smjogja.com,,,,
detiksumsel.com,,,,
kedglobal.com,,,,
baliprawara.com,,,,
vibizmedia.com,,,,
cakrawalanews.co.id,,,,
balijani.id,,,,
bumntrack.co.id,,,,
sahabat.com,,,,
bicaranetwork.com,,,,
thejakartapost.com,,,,
indoraya.news,,,,
teropongmedia.id,,,,
detak.media,,,,
nayantaka.id,,,,
indomediadigital.com,,,,
medanposonline.com,,,,
rakyatku.com,,,,
aksesjambi.com,,,,
jateng.tribunnews.com,,,,
pantura.tribunnews.com,,,,
ivoox.id,,,,
kominfo.jatimprov.go.id,,,,
keuangannews.id,,,,
detakriau.com,,,,
beritariau.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
kabarsiger.com,,,,
pewarta.co,,,,
indopulsa.co.id,,,,
radarlombok.co.id,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
mandalika.pikiran-rakyat.com,,,,
edition.cnn.com,,,,
kabar24.bisnis.com,,,,
kl.antaranews.com,,,,
harianinhuaonline.com,,,,
sumbar.antaranews.com,,,,
carapandang.com,,,,
pantau24jam.com,,,,
monitordepok.co,,,,
siber24jam.com,,,,
buserdirgantara7.com,,,,
pojoksatu.id,,,,
pakuanraya.com,,,,
barayanews.co.id,,,,
autoindo.id,,,,
pajak.com,,,,
bisnistoday.com,,,,
pantau.com,,,,
bidik.news,,,,
kilasjatim.com,,,,
realita.co,,,,
sorot.co,,,,
bisnisjatim.id,,,,
momdadi.com,,,,
ekonomiaktual.com,,,,
sportstars.id,,,,
alkhabaar.com,,,,
koran.tempo.co,,,,
bekasi.tribunnews.com,,,,
aspek.id,,,,
riaumakmur.com,,,,
jabodetabek.id,,,,
gonews.co,,,,
xnews.id,,,,
strategi.id,,,,
niaga.asia,,,,
eksekutif.com,,,,
news.ddtc.co.id,,,,
amalsehat.id,,,,
kedainews.com,,,,
magelangekspres.disway.id,,,,
otojatim.com,,,,
beritakotamakassar.com,h1.detail__title,div.detail__date,"div[class=""detail__author""]","div[class=""detail__body-text itp_bodycontent""]"
upah.co.id,,,,
wongkito.co,,,,
lyfebengkulu.com,,,,
hallomedan.co,,,,
telko.id,,,,
depokpos.com,,,,
berita.media,,,,
saibumi.com,,,,
flores.pikiran-rakyat.com,,,,
dimensinews.co.id,,,,
gerbangbanten.co.id,,,,
kedu.suaramerdeka.com,,,,
celebesterkini.com,,,,
cadaazz.com,,,,
bolehmusic.com,,,,
imusic.id,,,,
reqnews.com,,,,
balikonten.com,,,,
bisnisjakarta.co.id,,,,
gantengmotor.com,,,,
kabardewata.com,,,,
kabardenpasar.com,,,,
fajarbadung.com,,,,
balitribune.co.id,,,,
wartabalionline.com,,,,
topcareer.id,,,,
postingnews.id,,,,
kabnews.id,,,,
lensamandalika.com,,,,
balidailynews.com,,,,
dio-tv.com,,,,
orbitindonesia.com,,,,
motomaxx.id,,,,
acebanten.com,,,,
kaltara.tribunnews.com,,,,
negerilaskarpelangi.com,,,,
kompak.id,,,,
poskaltim.id,,,,
berau.prokal.co,,,,
indonesiaexpat.id,,,,
lifestyle.thepodcastpark.com,,,,
jogja.suara.com,,,,
matamata.com,,,,
jurnal-idn.com,,,,
ngopibareng.id,,,,
dutanusa.com,,,,
Jurnal Bogor,,,,
lasak.id,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
thenews.sg,,,,
kilaspapua.com,,,,
cilegon.inews.id,,,,
riauonline.co.id,,,,
beritakbb.pikiran-rakyat.com,,,,
lowongankerja15.com,,,,
inc42.com,,,,
financialit.net,,,,
klikmadiun.com,,,,
kabarjagad.id,,,,
biznews.id,,,,
tvpapua.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
mambruks.com,,,,
solotrust.com,,,,
kontenpedia.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
luxina.id,,,,
rumah123.com,,,,
progresifjaya.id,,,,
riaueditor.com,,,,
moralriau.com,,,,
pertamax7.com,,,,
mothership.sg,,,,
radarsorong.id,,,,
latestfinance.news,,,,
fokusindonesia.com,,,,
legion-news.com,,,,
Women's Obsession,,,,
lintasdaerahnews.com,,,,
beritainews.com,,,,
channelmuslim.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
kontenjatim.id,,,,
haloyouth.pikiran-rakyat.com,,,,
solo.tribunnews.com,,,,
balipolitika.com,,,,
metropostnews.com,,,,
fajarcirebon.com,,,,
aswajanews.id,,,,
id.theasianparent.com,,,,
rakyatcirebon.disway.id,,,,
radarcirebon.disway.id,,,,
smol.id,,,,
topmetro.news,,,,
style.tribunnews.com,,,,
marketplus.id,,,,
asiapevc.com,,,,
hongkongpr.com,,,,
disnaker.id,,,,
radarsumbar.com,,,,
philstar.com,,,,
radarutara.disway.id,,,,
epicentrum.co.id,,,,
sawitindonesia.com,,,,
suarakupangfm.com,,,,
majalahaula.id,,,,
jurnalindustry.com,,,,
lambeturah.co.id,,,,
1tulah.com,,,,
kinerjaekselen.co,,,,
suaraumkm.com,,,,
koranbanjar.net,,,,
jambiekspres.co.id,,,,
rakyatpos.com,,,,
kids.grid.id,,,,
bobo.grid.id,,,,
kempalan.com,,,,
suarapubliknews.net,,,,
artik.id,,,,
rmoljatim.id,,,,
metroliputan7.com,,,,
kabarprogresif.com,,,,
majalahceo.id,,,,
mediaformasi.com,,,,
protestantpost.com,,,,
kediri.memo.co.id,,,,
jogoboyo.com,,,,
lintasbogor.com,,,,
bogor.pikiran-rakyat.com,,,,
jambiseru.com,,,,
taucepat.com,,,,
biaya.info,,,,
pontianakglobe.com,,,,
bagikanberita.pikiran-rakyat.com,,,,
halojatim.com,,,,
mediabanten.com,,,,
dinamikasultra.com,,,,
persepsi.co.id,,,,
banten.jpnn.com,,,,
suluhnews.id,"h1[class=""font-['Lora'] text-3xl md:text-5xl font-bold py-3 drop-shadow""]","class[data-test=""published-time""] span","class[data-test=""published-author""] span","div[class=""mt-10 contentWrapper""]"
tangerangnet.com,,,,
pelitabanten.com,,,,
berandaindonesia.id,,,,
agresifnews.co,,,,
katasumbar.com,,,,
womanindonesia.co.id,,,,
farah.id,h1.detail__title,div.detail__date,"div[class=""detail__author""]","div[class=""detail__body-text itp_bodycontent""]"
bimata.id,,,,
nusadaily.com,,,,
beritayogya.com,,,,
priangan.tribunnews.com,,,,
portalpekalongan.pikiran-rakyat.com,,,,
galerisumba.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
nomorsatuutara.com,,,,
bogor-today.com,,,,
enbeindonesia.com,,,,
sumutkota.com,,,,
baliportalnews.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
jcnuser.muragon.com,,,,
eventsnewsasia.com,,,,
businessnewsasia.com,,,,
businessnews.ph,,,,
depressenow.com,,,,
liveberita.com,,,,
deutschenme.com,,,,
dailyberita.com,,,,
indonesiafolk.com,,,,
malaysianbuzz.com,,,,
idnewszone.com,,,,
indonewswire.com,,,,
firmengate.com,,,,
linkingmy.com,,,,
hkcrunch.com,,,,
kulpr.com,,,,
hkchacha.com,,,,
europaeiner.com,,,,
diagramkota.com,,,,
businesspress24.com,,,,
crweworld.com,,,,
lioncitylife.com,,,,
buzzhongkong.com,,,,
garduoto.com,,,,
autoride.co.id,,,,
dapurpacu.id,,,,
atmnews.id,,,,
netralnews.com,,,,
pustakalewi.com,,,,
duta.co,,,,
medanbisnisdaily.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
batamclick.com,,,,
hariansurabaya.com,,,,
posmetro.co,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
pawartajatim.com,,,,
kepri.harianhaluan.com,,,,
bravaradio.com,,,,
sorotindonesia.com,,,,
korankabarnusantara.co.id,,,,
reformasiaktual.com,,,,
laskarmedia.com,,,,
min.co.id,,,,
analisnews.co.id,,,,
bandungberita.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
pelitakarawang.com,,,,
aspirasijabar.net,,,,
jatimexplore.net,,,,
yangcanggih.com,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
itechmagz.id,,,,
ganlop.com,,,,
gohappylive.com,,,,
pingintau.id,h1.text-black,span.date,div.author.pull-left,div.post.text-black-1
herald.id,,,,
fajarbali.com,,,,
lintaspena.com,,,,
wartasuluh.com,,,,
halloriau.com,,,,
kastara.id,,,,
majalahpajak.net,,,,
riauaktual.com,,,,
celotehriau.com,,,,
cakaplah.com,,,,
riauin.com,,,,
riauberantas.com,,,,
intimnews.com,,,,
potret24.com,,,,
berazam.com,,,,
riausatu.com,,,,
kabarlah.com,,,,
exposkalteng.com,,,,
riaupos.jawapos.com,,,,
pekanbaru.tribunnews.com,,,,
rmol.id,,,,
suarantb.com,,,,
makassar.terkini.id,,,,
lifepod.id,,,,
berita7.online,,,,
sumsel.suara.com,,,,
kupastuntas.co,,,,
konteks.co.id,,,,
abchannel.id,,,,
karanganyarnews.pikiran-rakyat.com,,,,
jogja.disway.id,,,,
mengerti.id,,,,
soppeng.pikiran-rakyat.com,,,,
malangvoice.com,,,,
beritadewata.com,,,,
dewatanetwork.com,,,,
terakota.id,,,,
asaljeplak.com,,,,
aktualita.co,,,,
cariviral.com,,,,
joss.co.id,,,,
wonosobozone.com,,,,
indonesiasocialite.com,,,,
financeasia.com,,,,
obsessionnews.com,,,,
kabarbalihits.com,,,,
suryamalang.tribunnews.com,,,,
inilahkoran.com,,,,
anteroaceh.com,,,,
economiczone.id,,,,
wanitaindonesia.co,,,,
bp3ti.bisnis.com,,,,
harianjatim.net,,,,
genmedia.co.id,,,,
medantalk.com,,,,
inclovermag.com,,,,
wartapontianak.pikiran-rakyat.com,,,,
bisnismetro.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
beritamu.co.id,,,,
idcorner.co.id,,,,
instran.id,,,,
indowork.id,,,,
depok.tribunnews.com,,,,
nusantara62.com,,,,
sinarnews.tv,,,,
kilat.com,,,,
law-justice.co,,,,
beritacenter.com,,,,
dialeksis.com,,,,
inijogja.net,,,,
jogjacorner.id,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
harianmerapi.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
pelitajabar.com,h1.post-title,span.article-date,div.tags-wrapper,div.post-content
idnfinancials.com,,,,
businesstimes.com.sg,,,,
matakita.id,,,,
bali.jpnn.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
mediapurwodadi.pikiran-rakyat.com,,,,
selebritalk.pikiran-rakyat.com,,,,
editornews.pikiran-rakyat.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
portalpati.pikiran-rakyat.com,,,,
jurnalsumsel.pikiran-rakyat.com,,,,
kabartegal.pikiran-rakyat.com,,,,
halloindo.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
portalmajalengka.pikiran-rakyat.com,,,,
lingkarmadiun.pikiran-rakyat.com,,,,
portalbrebes.pikiran-rakyat.com,,,,
floresterkini.pikiran-rakyat.com,,,,
kabarjoglosemar.pikiran-rakyat.com,,,,
indobalinews.pikiran-rakyat.com,,,,
sinjai.pikiran-rakyat.com,,,,
majalengka.pikiran-rakyat.com,,,,
galura.pikiran-rakyat.com,,,,
sinarjateng.pikiran-rakyat.com,,,,
sumba.pikiran-rakyat.com,,,,
lingkarkediri.pikiran-rakyat.com,,,,
bola.net,,,,
radarselatan.disway.id,,,,
benuanta.co.id,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
kutip.co,,,,
