Media,Judul,Tanggal,Reporter,Isi
ihgma.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
liputaja.com,,,,
oto.mounture.com,,,,
ladiestory.id,,,,
marketing.co.id,,,,
jatengpos.co.id,,,,
beritajateng.net,,,,
rmoljawatengah.id,,,,
merahputih.com,,,,
womensobsession.com,"span[class=""field field--name-title field--type-string field--label-hidden""]","span[class=""field field--name-created field--type-created field--label-hidden""] time","span[class=""field field--name-uid field--type-entity-reference field--label-hidden""] span","div[class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidden field__item""]"
metrojateng.com,,,,
mettanews.id,,,,
businesstoday.com.my,,,,
cnbcindonesia.com,,,,
ayoyogya.com,,,,
5w1hindonesia.id,,,,
kalbar.genpi.co,,,,
welfare.id,,,,
batam.tribunnews.com,,,,
kupang.tribunnews.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
pilihanindonesia.com,,,,
traveltext.id,,,,
merdeka.com,,,,
medan.tribunnews.com,h1.read__title,div.read__info__date,div.read__info__author,article[class='read__content clearfix']
belitung.tribunnews.com,,,,
jakartainsider.id,,,,
tentanguang.com,,,,
batamnews.co.id,,,,
kanalberita.co,,,,
alurnews.com,,,,
rmollampung.id,,,,
harianjogja.com,,,,
harianhaluankepri.com,,,,
sulbar.tribunnews.com,,,,
riau.genpi.co,,,,
bangka.tribunnews.com,,,,
langgam.id,,,,
cekberita.net,,,,
inionline.id,,,,
wartatangerang.com,,,,
dutabalinews.com,,,,
besttangsel.com,,,,
mancode.id,,,,
side.id,,,,
faktaidn.com,,,,
indonesiahousing.id,,,,
dealstreetasia.com,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
hospitalitynet.org,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
id.techinasia.com,,,,
tredmedia.com,,,,
techinasia.com,,,,
wargasipil.com,,,,
korannews.com,,,,
cnbc-indonesia.com,,,,
ibtimes.com,,,,
gatra.com,,,,
banjarmasin.apahabar.com,,,,
harianhaluan.com,,,,
radarcirebon.id,,,,
suarakarya.id,,,,
yogyakarta.pikiran-rakyat.com,,,,
pikiran-rakyat.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
radarseluma.disway.id,,,,
rbtv.disway.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
travel.tribunnews.com,,,,
infosumbar.net,,,,
gayabekasi.id,,,,
bali.genpi.co,,,,
kaltim.genpi.co,,,,
jabar.genpi.co,,,,
jogja.suaramerdeka.com,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
sumsel.genpi.co,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
lombokinsider.com,,,,
indoinsider.id,,,,
metrokendari.id,,,,
indozone.id,,,,
aktual.co.id,,,,
digaze.com,,,,
swa.co.id,,,,
selular.id,div.read__title,span.date_detail,"div[class=""read__info__author""] div a",article.read__content.clearfix
mediakonsumen.com,,,,
beritapembaruan.id,h1.f50.black2.f400.crimson,"div[class=""grey bdr3 pb10 pt10""] time span",div.credit b,"div[class=""side-article txt-article multi-fontsize editcontent""]"
kontan.co.id,,,,
